,Churn,genero,tem +65,possui_parceiro,possui_dependentes,tempo_cliente_meses,servico_telefone,multiplas_linhas,servico_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,streaming_tv,streaming_filmes,tipo_contrato,fatura_digital,metodo_pagamento,gasto_mensal,gasto_total,contas_diarias
0,0,Feminino,0,1,1,9,1,0,DSL,0,1,0,1,1,0,Anual,1,Cheque fisico,65.6,593.3,2.19
1,0,Masculino,0,0,0,9,1,1,DSL,0,0,0,0,0,1,Mensal,0,Cheque fisico,59.9,542.4,2.0
2,1,Masculino,0,0,0,4,1,0,Fibra Opica,0,0,1,0,0,0,Mensal,1,Cheque eletrônico,73.9,280.85,2.46
3,1,Masculino,1,1,0,13,1,0,Fibra Opica,0,1,1,0,1,1,Mensal,1,Cheque eletrônico,98.0,1237.85,3.27
4,1,Feminino,1,1,0,3,1,0,Fibra Opica,0,0,0,1,1,0,Mensal,1,Cheque fisico,83.9,267.4,2.8
5,0,Feminino,0,0,1,9,1,0,DSL,0,0,0,1,1,1,Mensal,1,Cartão de crédito,69.4,571.45,2.31
6,0,Feminino,1,1,0,71,1,0,Fibra Opica,1,1,1,1,1,1,Bienal,1,Transferência bancária,109.7,7904.25,3.66
7,0,Masculino,0,1,0,63,1,1,Fibra Opica,1,0,0,1,0,0,Bienal,1,Cartão de crédito,84.65,5377.8,2.82
8,0,Feminino,1,0,0,7,1,0,DSL,1,0,0,0,0,0,Mensal,1,Cheque eletrônico,48.2,340.35,1.61
9,0,Feminino,0,1,1,65,1,1,DSL,1,1,1,1,1,1,Bienal,1,Cheque fisico,90.45,5957.9,3.02
10,0,Masculino,0,0,0,54,0,0,DSL,1,0,0,1,1,0,Bienal,0,Cartão de crédito,45.2,2460.55,1.51
11,0,Feminino,0,1,1,72,1,1,Fibra Opica,1,1,1,1,1,1,Bienal,1,Cartão de crédito,116.8,8456.75,3.89
12,0,Feminino,0,1,0,5,1,0,Fibra Opica,0,0,0,0,0,0,Mensal,1,Cheque eletrônico,68.95,351.5,2.3
13,0,Feminino,0,0,0,72,1,1,Fibra Opica,1,1,1,0,1,0,Bienal,1,Transferência bancária,101.3,7261.25,3.38
14,0,Feminino,0,0,0,56,0,0,DSL,1,1,1,1,0,0,Bienal,0,Transferência bancária,45.05,2560.1,1.5
15,0,Feminino,0,1,1,71,1,1,Fibra Opica,0,1,1,0,0,1,Bienal,1,Cartão de crédito,95.75,6849.4,3.19
16,0,Feminino,0,1,1,34,0,0,DSL,1,0,1,1,1,1,Anual,0,Cheque fisico,61.25,1993.2,2.04
17,0,Feminino,1,0,0,1,1,1,Fibra Opica,0,0,0,0,0,0,Mensal,1,Cheque eletrônico,72.1,72.1,2.4
18,1,Masculino,1,0,0,45,1,0,DSL,1,0,1,0,0,1,Anual,0,Cartão de crédito,62.7,2791.5,2.09
19,1,Masculino,1,0,0,1,0,0,DSL,0,0,0,0,0,0,Mensal,1,Cheque eletrônico,25.1,25.1,0.84
20,0,Feminino,1,1,0,50,1,1,Sem servico de internet,0,0,0,0,0,0,Anual,0,Cheque eletrônico,25.2,1306.3,0.84
21,1,Feminino,0,1,0,13,1,1,Fibra Opica,0,1,1,0,1,0,Mensal,0,Cheque eletrônico,94.1,1215.6,3.14
22,0,Feminino,0,1,1,23,1,1,Fibra Opica,0,0,0,0,1,0,Mensal,1,Cheque eletrônico,83.75,1849.95,2.79
23,0,Feminino,0,0,0,3,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,0,Cheque fisico,19.85,57.2,0.66
24,1,Feminino,0,1,1,4,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,0,Cheque fisico,20.35,76.35,0.68
25,1,Feminino,0,1,1,1,0,0,DSL,1,0,0,0,0,0,Mensal,0,Transferência bancária,30.5,30.5,1.02
26,0,Feminino,0,1,1,55,1,0,Fibra Opica,0,1,1,1,1,1,Anual,1,Transferência bancária,103.7,5656.75,3.46
27,0,Masculino,0,1,1,54,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Cartão de crédito,20.4,1090.6,0.68
28,0,Masculino,0,0,0,26,1,0,Sem servico de internet,0,0,0,0,0,0,Anual,1,Transferência bancária,19.6,471.85,0.65
29,0,Feminino,0,1,1,69,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Transferência bancária,19.7,1396.9,0.66
31,0,Masculino,0,1,1,37,1,0,Fibra Opica,0,0,0,0,1,1,Anual,0,Cartão de crédito,91.2,3247.55,3.04
32,0,Feminino,0,1,0,49,1,0,Sem servico de internet,0,0,0,0,0,0,Anual,0,Transferência bancária,20.45,900.9,0.68
33,0,Masculino,0,1,0,66,1,1,Fibra Opica,1,1,1,1,1,1,Anual,0,Transferência bancária,115.8,7942.15,3.86
34,0,Feminino,0,0,0,67,1,0,Sem servico de internet,0,0,0,0,0,0,Anual,0,Cheque eletrônico,20.55,1343.4,0.68
35,0,Masculino,0,1,1,20,0,0,DSL,1,0,1,1,0,0,Bienal,1,Cartão de crédito,39.4,825.4,1.31
36,0,Feminino,0,0,1,43,1,1,Sem servico de internet,0,0,0,0,0,0,Bienal,1,Cheque eletrônico,25.1,1070.15,0.84
37,0,Feminino,0,1,0,55,1,1,Fibra Opica,1,0,0,0,1,0,Mensal,1,Transferência bancária,89.8,4959.6,2.99
38,0,Feminino,0,1,0,59,1,1,Fibra Opica,1,1,0,0,1,0,Mensal,1,Cheque eletrônico,94.75,5597.65,3.16
39,0,Feminino,0,1,1,12,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Transferência bancária,20.3,224.5,0.68
40,0,Masculino,0,1,1,27,1,1,Fibra Opica,0,0,0,0,0,0,Mensal,1,Transferência bancária,75.75,1929,2.52
41,1,Masculino,1,0,0,2,1,0,DSL,1,0,0,0,0,0,Mensal,1,Cheque eletrônico,49.25,91.1,1.64
42,0,Feminino,0,0,0,27,1,0,DSL,0,1,1,1,1,1,Anual,0,Cheque fisico,78.2,2078.95,2.61
43,0,Masculino,0,1,1,25,1,1,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Cartão de crédito,25.5,630.6,0.85
44,0,Masculino,0,1,1,25,1,0,DSL,1,1,1,0,0,0,Anual,1,Transferência bancária,61.6,1611,2.05
45,0,Masculino,0,0,1,29,0,0,DSL,1,1,1,1,0,0,Mensal,1,Cheque fisico,45.0,1242.45,1.5
46,0,Masculino,0,1,0,72,1,1,DSL,0,1,1,1,1,1,Bienal,1,Transferência bancária,85.15,6316.2,2.84
47,0,Feminino,0,0,0,14,1,0,DSL,0,1,0,0,0,0,Anual,0,Cartão de crédito,51.45,727.85,1.72
48,0,Feminino,0,0,0,35,1,0,Fibra Opica,0,0,1,1,1,1,Anual,1,Cheque eletrônico,99.25,3532,3.31
49,0,Masculino,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Mensal,1,Cheque fisico,44.3,44.3,1.48
50,0,Masculino,0,0,0,29,1,0,Fibra Opica,0,0,0,1,1,1,Mensal,1,Cheque eletrônico,94.2,2607.6,3.14
51,0,Masculino,0,0,0,64,1,1,DSL,1,1,1,1,1,0,Anual,0,Cheque eletrônico,81.25,5567.55,2.71
52,0,Feminino,0,1,1,39,1,1,Fibra Opica,0,0,0,1,1,1,Mensal,1,Cartão de crédito,99.95,3767.4,3.33
53,0,Feminino,1,0,0,40,1,0,Fibra Opica,0,0,0,0,1,1,Mensal,1,Cheque eletrônico,91.55,3673.6,3.05
54,1,Masculino,0,0,0,40,1,1,Fibra Opica,0,1,1,0,1,1,Mensal,1,Cartão de crédito,104.5,4036.85,3.48
55,1,Feminino,1,0,0,11,1,0,Fibra Opica,0,1,0,0,1,1,Mensal,1,Cheque eletrônico,95.0,1120.3,3.17
56,0,Feminino,0,1,0,6,1,1,DSL,0,0,0,0,0,0,Mensal,0,Cheque eletrônico,50.35,314.55,1.68
57,0,Masculino,0,0,0,30,1,1,DSL,1,0,0,0,0,1,Mensal,1,Cheque fisico,64.5,1888.45,2.15
58,0,Masculino,0,0,0,27,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,1,Cheque eletrônico,19.4,529.8,0.65
59,0,Masculino,1,1,0,70,1,1,Fibra Opica,0,1,1,0,1,1,Anual,1,Cheque eletrônico,104.8,7308.95,3.49
60,0,Feminino,0,1,0,57,1,1,Fibra Opica,0,1,1,1,1,1,Anual,1,Transferência bancária,109.4,6252.7,3.65
61,0,Masculino,0,1,0,58,1,0,DSL,0,0,1,0,0,0,Anual,0,Cartão de crédito,50.3,2878.55,1.68
62,0,Masculino,0,0,0,16,1,1,DSL,0,1,1,0,0,1,Mensal,1,Transferência bancária,71.4,1212.1,2.38
63,0,Feminino,0,1,0,69,1,1,Fibra Opica,1,1,1,1,1,1,Bienal,1,Cheque eletrônico,116.0,8182.85,3.87
64,1,Masculino,0,0,0,1,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,1,Cheque eletrônico,19.85,19.85,0.66
65,1,Masculino,0,0,1,1,1,1,Fibra Opica,0,0,1,0,1,1,Mensal,1,Cheque eletrônico,99.75,99.75,3.32
66,0,Masculino,1,1,1,32,1,0,Fibra Opica,0,1,0,0,1,1,Mensal,1,Cheque fisico,93.95,2861.45,3.13
67,0,Masculino,0,1,1,16,1,1,Fibra Opica,0,0,1,0,1,0,Mensal,1,Transferência bancária,90.8,1442.2,3.03
68,1,Masculino,0,1,0,49,1,1,DSL,1,0,1,1,1,1,Anual,0,Cheque eletrônico,84.35,4059.35,2.81
69,0,Feminino,0,1,0,71,0,0,DSL,0,1,1,1,1,1,Bienal,0,Transferência bancária,58.25,4145.9,1.94
70,0,Feminino,0,0,0,33,1,1,Fibra Opica,0,1,1,0,1,1,Mensal,0,Cheque eletrônico,107.55,3645.5,3.58
71,0,Feminino,0,1,0,10,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,1,Transferência bancária,19.95,187.75,0.66
72,1,Masculino,0,1,0,21,1,1,Fibra Opica,0,1,1,1,1,1,Mensal,1,Cheque eletrônico,111.2,2317.1,3.71
73,1,Masculino,0,1,1,37,0,0,DSL,1,1,1,0,0,0,Mensal,0,Transferência bancária,40.2,1448.8,1.34
74,0,Feminino,1,0,0,26,1,0,Fibra Opica,1,0,0,0,1,0,Mensal,1,Cartão de crédito,85.8,2193.65,2.86
76,0,Masculino,0,0,0,50,0,0,DSL,1,0,0,1,0,0,Anual,1,Cheque fisico,35.4,1748.9,1.18
77,1,Feminino,0,0,0,7,1,1,Fibra Opica,0,0,0,0,0,0,Mensal,1,Cheque eletrônico,73.85,511.25,2.46
78,0,Feminino,0,1,1,61,1,1,DSL,1,1,1,1,1,1,Bienal,0,Cheque fisico,88.1,5526.75,2.94
79,1,Masculino,0,0,0,15,1,0,Fibra Opica,0,0,1,1,1,1,Mensal,1,Cheque eletrônico,101.35,1553.95,3.38
80,0,Feminino,0,0,1,26,0,0,DSL,1,0,0,1,0,1,Mensal,0,Cheque fisico,45.8,1147,1.53
81,0,Masculino,0,1,0,72,1,0,Fibra Opica,0,0,1,0,1,1,Mensal,1,Cheque eletrônico,94.65,6747.35,3.16
82,0,Masculino,0,1,1,44,1,0,Sem servico de internet,0,0,0,0,0,0,Anual,1,Transferência bancária,20.5,865.05,0.68
83,0,Masculino,0,0,0,66,1,1,Fibra Opica,0,1,0,0,0,1,Mensal,0,Cartão de crédito,89.4,5976.9,2.98
84,1,Feminino,0,0,0,2,1,0,Fibra Opica,1,1,0,1,0,0,Mensal,1,Cheque eletrônico,86.25,181.65,2.88
85,0,Feminino,1,0,0,44,1,0,DSL,0,0,1,1,1,1,Anual,0,Transferência bancária,74.85,3268.05,2.49
86,1,Feminino,0,0,0,12,1,1,Fibra Opica,0,1,0,0,1,0,Mensal,1,Transferência bancária,89.75,1052.4,2.99
87,0,Masculino,1,1,0,69,1,1,Fibra Opica,0,1,1,1,1,1,Bienal,1,Cheque eletrônico,109.95,7634.25,3.66
